fn,maize streak virus,disease,okukkoola,muwogo,mpeke,mucungwa,greens,garden,mango,bulimi,obuwuka,ebikoola,obulimi,ebisoolisooli,kaamulali,eddagala,beans,omuyembe,leaf,kisaanyi,leaves,butterfly,okuzifuuyira,micungwa,ppaapaali,emboga,kikolo,harvest,olusuku,coffee,super grow,rice,ensujju,okulima,worm,ebbugga,onion,ensigo,plantation,ensukusa,maize stalk borer,amakoola,muceere,insect,pumpkin,spray,namuginga,tomatoes,akatungulu,ground nuts,orange,nursery bed,npk,mangoes,ebitooke,maize,endwadde,lumonde,ensiringanyi,pawpaw,ebijjanjalo,sukumawiki,caterpillars,matooke seedlings,okusaasaana,omuceere,ebikajjo,mulimi,sikungula,watermelon,ennima,akammwanyi,amakungula,ebyobulimi,okugimusa,sow,Pump,ekigimusa,ekirime,okusiga,nfukirira,faamu,okulimibwa,pampu,vegetables,lusuku,ennyaanya,ekisaanyi,bibala,ekikajjo,ennimiro,okukungula,akatunda,eppapaali,endagala,ekijanjaalo,abalimi,plant,Spinach,ndwadde,caterpillar,miceere,farmer,irrigate,nnakati,omusiri,weeding,okusaasaanya,amalagala,ekikoola,ebisooli,munyeera,ekirwadde,enkota,banana,fruit picking,ebibala,dig,doodo,omulimisa,eggobe,seed,crop,okunnoga,obutunda,fruit,endokwa,ebikolo,omucungwa,okufukirira,obulwadde,ebijanjaalo,matooke,pepper,agriculture,afukirira,nnyaanya,medicine,nambaale,cassava,sugarcane,ekimera,kikajjo,obusaanyi,ekibala,ebigimusa,kukungula,nnimiro,ebikongoliro,irish potatoes,ensuku,emicungwa,ekikolo,ejjobyo,omulimi,okusimba,sweet potatoes,okufuuyira,farming instructor,nnasale beedi,passion fruit,ekitooke,ebisaanyi,ekyeya,enva endiirwa,emisiri,emiyembe,amatooke,ebiwuka,farm,ebinyebwa,amappapaali,ebimera,kassooli,harvesting,emmwanyi,akamonde,obumonde,cabbages,akasaanyi,spread,ebirime,drought,kasaanyi,suckers,insects,fertilizer,nakavundira,ekiwojjolo,akawuka,ddagala,ebiwojjolo,obutungulu
audio_files/00118N3.wav,0.00560134,0.00742149,0.00038658,0.00939294,0.01146841,0.0059341,0.00446998,0.00913563,0.00350042,0.01302165,0.01330767,0.01423105,0.0030231,0.01024949,0.01437858,0.01021088,0.00360095,0.00745604,0.01114773,0.00320361,0.00634024,0.0,0.00327229,0.00329133,0.00102814,0.00523195,0.00256866,0.00751488,0.00347526,0.00753574,0.00572277,0.00293607,0.01598475,0.00047735,0.0,0.00265326,0.0013059,0.00138696,0.00094932,0.00785698,0.00298509,0.00144367,0.00325631,0.00660737,0.00284955,0.00282908,0.01554829,0.00217153,0.00464936,0.00124854,0.00823332,0.00951031,0.00653735,0.0,0.00388178,0.00164308,0.01219817,0.0,0.00224196,0.00077423,0.00375188,0.0034767,0.00145925,0.00125802,0.0121863,0.0,0.00541083,0.00217896,0.00178964,0.00225697,0.00784599,0.00650643,0.00344433,0.00528074,0.00759723,0.00432925,0.00312535,0.00791534,0.00421104,0.00123501,0.0143783,0.00108473,0.00904859,0.00679429,0.00325307,0.00442388,0.00237636,0.00827393,0.00292086,0.00158555,0.00413453,0.00350471,0.00810019,0.00020837,0.00284655,0.00471371,0.0049661,0.00670342,0.00240106,0.01202372,0.00385092,0.00218658,0.0032049,0.00745012,0.00957831,0.00598733,0.00392684,0.00735649,0.00705872,0.00317954,0.00601229,0.00623206,0.01165908,0.00274534,0.00696456,0.00849571,0.01014187,0.0,0.01109308,0.00501793,0.00129966,0.0123459,0.00557753,0.00906633,0.00695214,0.00590152,0.00435159,0.00444425,0.00199401,0.00344384,0.00506806,0.00362106,0.00818745,0.00085259,0.00354046,0.00184448,0.00906807,0.00370033,0.00372465,0.0,0.0,0.00634056,0.00205574,0.00756352,0.00338707,0.02082429,0.00572871,0.00200895,0.00500921,0.00640101,0.00581031,0.00669994,0.00133258,0.00661878,0.00467056,0.00522414,0.00034191,0.02000181,0.00317371,0.00838886,0.0,0.00557597,0.00614325,0.00411408,0.00513682,0.00408543,0.00494708,0.00414724,0.00469964,0.01181689,0.00359017,0.00356189,0.00236033,0.00705334,0.00298534,0.0,0.00478603,0.0119509,0.00328042,0.0068124,0.0019611,0.0,0.01578804,0.00801729,0.00747939,0.00689325,0.00822247,0.00462344,0.0051443,0.01005326,0.0098654,0.01467463,0.00914054
audio_files/00P0NMV.wav,0.0027757,0.00168314,0.00453575,0.00431086,0.00460962,0.00401626,0.00294486,0.00548134,0.00269564,0.00321123,0.00771961,0.00218027,0.00361269,0.00516631,0.00427162,0.00760845,0.00196424,0.0046791,0.0066369,0.00995675,0.00539736,0.00349672,0.01172189,0.00570217,0.00589901,0.00464005,0.00320388,0.00470879,0.00444069,0.00223115,0.00329634,0.00556267,0.00302368,0.00504393,0.010262,0.00314467,0.0030595,0.00500055,0.00966049,0.00460871,0.00231629,0.0034119,0.00614935,0.00428074,0.0024971,0.00432308,0.00662294,0.00349439,0.00543291,0.00292521,0.00116106,0.00632525,0.00243729,0.00356817,0.00644241,0.00474136,0.00818471,0.01261111,0.01183533,0.00416595,0.00491863,0.0023308,0.00369426,0.00294424,0.00663109,0.00705622,0.00552258,0.00345135,0.00583976,0.00350875,0.00352668,0.0062397,0.00537813,0.0045085,0.01121765,0.00594599,0.00526606,0.00621146,0.00470523,0.00447127,0.00333887,0.0026616,0.00316472,0.00393843,0.00242995,0.00447039,0.00780267,0.00770771,0.00548511,0.00492082,0.0042749,0.00575963,0.0041665,0.00854113,0.0056434,0.00580462,0.00268942,0.00516189,0.00330196,0.01202843,0.00470528,0.0055751,0.00738739,0.00549538,0.00557941,0.00413027,0.00752778,0.00875289,0.00465516,0.00293717,0.00606272,0.01034999,0.00527191,0.00582915,0.00302543,0.00579205,0.00275691,0.01034428,0.00385632,0.00468738,0.00533691,0.00411882,0.00645086,0.00239202,0.00544683,0.00652166,0.00163186,0.00299909,0.00545149,0.00282193,0.00802277,0.00524797,0.00505534,0.00612525,0.0067893,0.00475283,0.00417032,0.00390498,0.00604639,0.00651487,0.00313736,0.00299314,0.00356118,0.00948613,0.00288037,0.00849568,0.00247373,0.00473019,0.00343788,0.00177371,0.0034245,0.0073105,0.00383172,0.00710016,0.00467261,0.00437356,0.00309767,0.00607851,0.00622168,0.00313549,0.01143904,0.00383499,0.00799396,0.00179235,0.00653871,0.00317272,0.00530622,0.00413607,0.01148652,0.0043072,0.00431847,0.00550636,0.0058123,0.0043703,0.00749497,0.00655357,0.00456429,0.00383743,0.00217563,0.00900444,0.00348311,0.0054992,0.00180823,0.00882372,0.0047975,0.00195468,0.00354279,0.00809043,0.00815322,0.00825938,0.0071829,0.00934152,0.00492688
audio_files/01QEEZI.wav,0.00375494,0.00091526,0.00452759,0.00467753,0.00300387,0.00427052,0.00427149,0.00614299,0.00263929,0.00073303,0.00861209,0.00154799,0.00393696,0.00539236,0.00468559,0.00749049,0.00346365,0.00520934,0.00582151,0.00515239,0.00747201,0.00348391,0.00982172,0.00326185,0.00460172,0.00367255,0.00489239,0.00849791,0.00509922,0.00323617,0.0024928,0.00102646,0.00224191,0.00640648,0.0,0.00467906,0.00368008,0.00568761,0.00830118,0.00506305,0.00283796,0.00516195,0.00573695,0.00386099,0.00294641,0.00332416,0.00931996,0.00227008,0.00690228,0.00313794,0.00228658,0.00441205,0.00361018,0.00386608,0.00557194,0.00367657,0.01123254,0.00027224,0.01159325,0.00468877,0.00522812,0.00284495,0.00557406,0.00301653,0.00703046,0.00237569,0.00458455,0.00448118,0.00706151,0.00454852,0.00382114,0.00586236,0.00383996,0.00374843,0.00793952,0.00800504,0.0066772,0.00878453,0.00433906,0.00388316,0.0,0.00381316,0.00402832,0.00361682,0.00233458,0.00473698,0.00377913,0.00831817,0.00686064,0.00598913,0.00498504,0.00639815,0.00601105,0.00249129,0.00684562,0.00529341,0.00387314,0.00793214,0.00464207,0.00559325,0.00486649,0.00728025,0.00634372,0.0067489,0.00199682,0.00461183,0.00882628,0.00701563,0.00637675,0.00455443,0.00704498,0.01228503,0.00717432,0.00666697,0.00189402,0.00511726,0.0036954,0.00786396,0.00393509,0.00381928,0.00544701,0.00695235,0.0097155,0.00177237,0.00746966,0.00639075,0.00363615,0.0039624,0.00477968,0.00488577,0.00988378,0.00673146,0.00409474,0.00163354,0.00751143,0.00607412,0.00531284,0.00258504,0.00853541,0.00264624,0.00398962,0.00251244,0.00455781,0.0062688,0.0021361,0.00716459,0.00412359,0.00592806,0.00265137,0.00187121,0.002674,0.00748223,0.00499757,0.00785042,0.00419602,0.00468665,0.00381234,0.00753328,0.0082885,0.00392291,0.0,0.0014947,0.00984035,0.00312314,0.00680061,0.00425135,0.00631042,0.00578521,0.01078514,0.00613653,0.00536786,0.00684018,0.00719553,0.00577911,0.00702291,0.00780786,0.00467766,0.00375249,0.00316857,0.01309909,0.00480486,0.00567678,0.00429511,0.01021188,0.004753,0.00392804,0.00380077,0.01080641,0.00648173,0.00927333,0.0086454,0.00739469,0.00357151
audio_files/037YAED.wav,0.00321151,0.0,0.00518365,0.00372837,0.00167866,0.00395419,0.00394919,0.00538026,0.00236018,0.0,0.00750881,0.0,0.0040572,0.00453108,0.00274808,0.00704107,0.00312516,0.00472062,0.00492721,0.0064436,0.0073958,0.00405763,0.01091911,0.00372885,0.00546263,0.00360918,0.00502411,0.00788046,0.00533447,0.00228412,0.00212204,0.00145125,0.0,0.00719805,0.0040542,0.00486141,0.00380709,0.00636414,0.00959069,0.00448812,0.00281252,0.00557479,0.00622637,0.00333034,0.0028835,0.00348201,0.00749354,0.00235849,0.00673416,0.00349197,0.00079418,0.00376672,0.00286028,0.00447945,0.00578257,0.00404835,0.01051019,0.00612524,0.01340686,0.00526402,0.0051709,0.00262626,0.00576892,0.00339766,0.00627369,0.00364053,0.00479844,0.00480792,0.00780452,0.0048075,0.00306672,0.00594662,0.00417528,0.00368455,0.00811942,0.00836095,0.00720739,0.00835604,0.00444199,0.00443152,0.0,0.0041077,0.00286741,0.00319527,0.00232388,0.00471211,0.00467904,0.0083236,0.00734504,0.00652413,0.00505598,0.00671503,0.00519538,0.00437304,0.00731355,0.0054705,0.00356204,0.0076525,0.00488242,0.00544283,0.00494706,0.00788888,0.00717937,0.00643895,0.00139135,0.00413691,0.00949012,0.00743723,0.00569425,0.00463908,0.00701521,0.01283702,0.00610229,0.00716945,0.00131664,0.0048102,0.00234663,0.00990608,0.00270572,0.00377819,0.00612468,0.00515042,0.00981932,0.00063071,0.00714648,0.00645764,0.00306401,0.00372622,0.00535938,0.00480599,0.01053616,0.00706273,0.00354753,0.0024913,0.00805348,0.00653742,0.00433911,0.00276502,0.00892968,0.0043684,0.00459021,0.00199549,0.00487407,0.00660907,0.00199435,0.0051922,0.00351451,0.00638001,0.00245968,0.00100921,0.00217552,0.0075662,0.00537164,0.00791956,0.00417778,0.00440326,0.00425356,0.00472424,0.0089119,0.00305333,0.00321245,0.00131321,0.01010661,0.00274598,0.0070289,0.00401027,0.00624715,0.00565318,0.01201788,0.00472289,0.00551647,0.0070808,0.00769001,0.00536745,0.00770364,0.00911805,0.00450401,0.0022584,0.00297504,0.01360359,0.00510682,0.00677213,0.00181154,0.01029127,0.00435623,0.0030972,0.00290457,0.0113283,0.007196,0.0090383,0.00811113,0.00652996,0.0028602
audio_files/0382N0Y.wav,0.00382762,0.0023551,0.00369995,0.00540688,0.00480761,0.00453794,0.00395595,0.00642811,0.00267951,0.00358248,0.00915684,0.00406061,0.00371154,0.00626313,0.00621803,0.00802408,0.00310099,0.00550098,0.00688751,0.00598192,0.00687926,0.00278302,0.00868222,0.00386109,0.00424424,0.0042165,0.00410246,0.00734129,0.00471419,0.00377896,0.0033205,0.00236952,0.00490448,0.00499911,0.0,0.00405073,0.00293183,0.00478192,0.00703054,0.00546913,0.00283418,0.00414655,0.00535699,0.00434467,0.00282594,0.0033602,0.00960769,0.00239261,0.00586578,0.00279927,0.0028865,0.00570003,0.00385398,0.00288694,0.00523175,0.00338062,0.0107033,0.00232595,0.01005268,0.00383206,0.00463822,0.00282803,0.0042052,0.00275781,0.00809466,0.00247272,0.00513299,0.00392317,0.00584672,0.00392936,0.00449766,0.00619047,0.00411143,0.00427001,0.00818623,0.00693205,0.00585169,0.00791974,0.00441375,0.00351094,0.00321265,0.00306803,0.00463386,0.00434914,0.00265186,0.00458778,0.00438202,0.00827134,0.00585793,0.00489032,0.00471198,0.00564708,0.00585875,0.00383849,0.00581687,0.00528891,0.0038901,0.00707085,0.00400499,0.00808769,0.00457755,0.0059715,0.00609941,0.00662555,0.00429224,0.0046143,0.00766225,0.00763885,0.00586522,0.00405647,0.00659628,0.01057277,0.00761451,0.00571991,0.00319003,0.00604971,0.00461782,0.00593313,0.00527141,0.00425206,0.00463058,0.00696274,0.00816938,0.00328127,0.00686087,0.00629066,0.00322416,0.00384954,0.00439402,0.00418163,0.00870458,0.00586754,0.00506663,0.00244223,0.00659154,0.00495309,0.00563616,0.00322536,0.00707554,0.00186643,0.00302295,0.00339168,0.00392184,0.00723746,0.0024843,0.01015774,0.00400938,0.00491241,0.00334244,0.00263432,0.00334455,0.0072776,0.00399897,0.00743974,0.00437343,0.00458735,0.00297256,0.0091489,0.00696474,0.00461522,0.0,0.00289202,0.00868754,0.00303289,0.00641874,0.00390004,0.00571281,0.00498762,0.00986491,0.0066758,0.00482342,0.00584038,0.00588826,0.0057507,0.00628263,0.00593199,0.00454409,0.0052119,0.00296479,0.01113082,0.00401619,0.0046762,0.00581609,0.00943549,0.00533426,0.00406054,0.00448397,0.00897338,0.0067908,0.00926295,0.00847846,0.00924074,0.00492845
audio_files/04S2SS5.wav,0.00217109,0.0,0.00737659,0.00290571,0.00348447,0.0028757,0.00298509,0.00560131,0.00433571,0.0,0.00700213,0.0,0.00360639,0.00250093,0.00221567,0.00638089,0.00189603,0.0034592,0.00620914,0.01166806,0.00356966,0.00580754,0.02106499,0.00627238,0.00800917,0.00386132,0.00308031,0.00504885,0.00386975,0.00016767,0.00150081,0.00751389,0.0,0.00708169,0.00320116,0.00187566,0.00638488,0.0059156,0.01697638,0.00323933,0.00066841,0.00318358,0.00769541,0.00505942,0.00233052,0.00653861,0.00632119,0.00621762,0.01008182,0.00277856,0.00163733,0.00630834,0.00101933,0.00688163,0.01104896,0.00863175,0.00650671,0.00146573,0.01414378,0.00589312,0.00917931,0.00205384,0.00738786,0.00244451,0.001051,0.01469292,0.00283237,0.00244808,0.0070561,0.00341998,0.00158044,0.00425999,0.00637453,0.00318965,0.01955994,0.00547678,0.00387983,0.00717235,0.00470988,0.00619632,0.0,0.00301625,0.00240301,0.00157169,0.000152,0.00494935,0.01117036,0.00591322,0.00601538,0.00702585,0.00362339,0.00783372,0.00414593,0.00650458,0.00711105,0.00651786,0.00035117,0.00444681,0.00242289,0.01462015,0.00606524,0.00673644,0.0078061,0.00408979,0.00268435,0.00543965,0.00854912,0.00692724,0.00725668,0.00089661,0.00657831,0.01447324,0.00167282,0.00767239,0.0,0.00224944,0.00024998,0.022399,0.00012335,0.00435555,0.00752745,0.00552403,0.00733386,0.0,0.00551388,0.00740343,0.001689,0.00205882,0.00738574,0.00199713,0.00725902,0.00520065,0.00372125,0.00967488,0.00855886,0.00660996,0.00361561,0.00200287,0.00708543,0.01578075,0.00446931,0.00055469,0.00340129,0.01048519,0.00346887,0.00047257,0.00150014,0.00620438,0.00159481,0.00047739,0.00358569,0.00789862,0.0057719,0.00748232,0.00497184,0.00591612,0.00485956,0.00520547,0.00613854,4.984e-05,0.00169939,0.00144155,0.00952286,0.00026279,0.0073862,0.00387286,0.00721723,0.00589954,0.01387803,0.00230837,0.0042682,0.00771512,0.00882653,0.00226255,0.01107782,0.00962567,0.00640162,0.00133108,0.00162746,0.00796914,0.0035576,0.00634303,0.0,0.00998022,0.00257146,0.0,0.00257383,0.01066922,0.00688413,0.00626633,0.00683935,0.00612436,0.00277796
audio_files/05KISR5.wav,0.00373844,0.0014637,0.00345502,0.00407744,4.327e-05,0.00474943,0.0043981,0.00479991,0.00054576,0.0,0.00741239,0.0016841,0.00441793,0.00600346,0.00252583,0.00751115,0.00376342,0.00556122,0.00370686,0.00332869,0.01027316,0.00269513,0.00274698,0.00218553,0.00377842,0.00358723,0.00639428,0.00932482,0.00654834,0.00362758,0.00273782,0.0,0.00103642,0.00723511,0.00930956,0.00720055,0.00143326,0.00681197,0.00378766,0.00530826,0.00457589,0.007412,0.00517623,0.00173813,0.0032494,0.00106367,0.00735082,0.0,0.00339794,0.00418158,0.0,0.00176234,0.0039851,0.00248369,0.00140367,0.00036525,0.01312348,0.01484035,0.01337159,0.00476814,0.00155004,0.00294651,0.00397501,0.00433884,0.01055272,0.0,0.00681038,0.00675457,0.00841567,0.00587401,0.00407714,0.00754489,0.00268981,0.00427374,0.0,0.01054488,0.00998306,0.00868253,0.00432081,0.00317879,0.0,0.00489885,0.00272252,0.00456933,0.00425647,0.00443478,0.00014949,0.010311,0.00835379,0.00600417,0.00617915,0.0056817,0.00544971,0.00444922,0.00736316,0.00471814,0.00602713,0.00976223,0.00681979,0.0,0.00394974,0.00870486,0.00712179,0.00812903,0.00087904,0.00273286,0.01022916,0.00841145,0.00371554,0.00759622,0.0071679,0.01112545,0.00924346,0.00669075,0.00277981,0.00712582,0.00356541,8.845e-05,0.00458476,0.0034539,0.00507225,0.00362168,0.01130017,0.00176298,0.00802615,0.00567443,0.00364408,0.00490411,0.0039048,0.0067881,0.01320285,0.00846899,0.00344394,0.0,0.00761112,0.00631612,0.00441693,0.00379216,0.01011119,0.0,0.00468833,0.00321519,0.00604322,0.00402873,0.00082016,0.00904618,0.00472723,0.00640199,0.00334154,0.00118999,0.00094945,0.00726009,0.0048693,0.00815577,0.00358059,0.00291134,0.00369311,0.00310339,0.01107887,0.00525347,0.00994005,0.00167588,0.01028368,0.00451591,0.00672488,0.00381197,0.00514449,0.00502063,0.01091789,0.00599942,0.00642404,0.00629285,0.00652651,0.00765696,0.00504691,0.00878966,0.00275221,0.0026343,0.00387747,0.01779482,0.00626504,0.00744774,0.00559084,0.0102745,0.00581703,0.00585612,0.0028611,0.01145302,0.00807091,0.01117856,0.00873501,0.00706314,0.00302131
audio_files/066NU27.wav,0.00385316,0.00181219,0.00379717,0.00496287,0.00318806,0.00455493,0.0042084,0.00601382,0.00214237,0.00185937,0.00867878,0.00295522,0.00394904,0.00604696,0.00504121,0.00778833,0.00342757,0.00549337,0.00584879,0.00486823,0.00795911,0.00289445,0.00731784,0.00318061,0.00411637,0.00389682,0.00492412,0.00828874,0.00528111,0.00370098,0.00296838,0.00057146,0.00339345,0.00590452,0.00107929,0.00504333,0.00274432,0.00549837,0.00638874,0.0053804,0.00329691,0.00525512,0.00535916,0.0035835,0.0029815,0.00272464,0.00916559,0.00152096,0.00554766,0.00321801,0.00196715,0.00436347,0.00391327,0.00299327,0.00429862,0.00262717,0.01159204,0.00424439,0.01114983,0.00425922,0.00400915,0.00289271,0.00452783,0.00320145,0.00852227,0.00040578,0.00538283,0.00479222,0.00678858,0.00459215,0.00428324,0.00643796,0.00361272,0.00412363,0.00562902,0.00815662,0.00711616,0.0084343,0.00435361,0.0034633,0.00083985,0.00373384,0.00410124,0.00424335,0.00298077,0.00459529,0.00297132,0.0088213,0.0067509,0.00544175,0.00517029,0.00583913,0.00590269,0.00335229,0.0064699,0.00511703,0.00448781,0.00807246,0.00490451,0.00491105,0.00448811,0.00700214,0.00633263,0.00709829,0.00278782,0.0041803,0.00859872,0.00760129,0.00554105,0.00512548,0.00688448,0.01115742,0.00805121,0.00619265,0.00277039,0.00609451,0.00424107,0.00470586,0.00485183,0.00391822,0.0049023,0.00631495,0.00944112,0.00257995,0.00739122,0.00614968,0.00353205,0.00419143,0.00430498,0.00508799,0.01015526,0.00676679,0.00442078,0.00077438,0.00706385,0.00558605,0.00534553,0.00315997,0.00825871,0.00025784,0.00367153,0.00315007,0.00462869,0.00605979,0.00196094,0.00922852,0.00431159,0.00554869,0.00316089,0.00213867,0.00257906,0.00732314,0.00447735,0.00774172,0.00411424,0.00421286,0.0033554,0.00744142,0.00836126,0.00468966,0.00031524,0.00217859,0.00941695,0.00349911,0.00658357,0.00401308,0.00574986,0.00525153,0.01025625,0.00652078,0.00538774,0.00622654,0.00638204,0.00631432,0.00608987,0.00707334,0.00413506,0.00429247,0.00329094,0.0134061,0.00480402,0.0055616,0.00562597,0.00987765,0.00533942,0.00460154,0.00396964,0.01010503,0.00694246,0.00980067,0.0086653,0.00822929,0.00411418
audio_files/0773SSN.wav,0.00385088,0.0039602,0.00264872,0.00600945,0.00612586,0.00489175,0.0035974,0.00641885,0.00230774,0.00633147,0.00942808,0.00666474,0.00356286,0.00725606,0.00732295,0.00857469,0.00272072,0.00584087,0.00758778,0.00669216,0.00673425,0.00191679,0.00621541,0.0043724,0.00378103,0.00479746,0.00351846,0.00615067,0.00457968,0.0043584,0.0042467,0.00320387,0.00740169,0.00367144,0.00402522,0.00384019,0.00169791,0.0040539,0.00491282,0.00590749,0.00314996,0.00347946,0.0048805,0.00443403,0.00274232,0.00299643,0.00937898,0.00197918,0.00404942,0.00265277,0.00285499,0.00657198,0.00411901,0.00160599,0.00410206,0.00247508,0.0103953,0.00789084,0.00885559,0.00295431,0.00329587,0.00280629,0.00241013,0.00275438,0.00985272,0.00140328,0.0061755,0.00375897,0.00482526,0.00351468,0.00521998,0.00687491,0.00423247,0.00493943,0.00678841,0.00624919,0.0056028,0.00689917,0.00450346,0.00302224,0.00651943,0.00247273,0.00494705,0.0052958,0.00335925,0.00436378,0.00446675,0.00858978,0.00507159,0.00372817,0.0046379,0.00471299,0.00550428,0.00588342,0.00481896,0.00519484,0.00427756,0.00642758,0.00372674,0.00957223,0.00409508,0.00484552,0.00605634,0.00671395,0.00656948,0.00422094,0.0066982,0.00863098,0.00473606,0.00407727,0.0061186,0.00851416,0.00837953,0.00472439,0.00473376,0.00742569,0.00548181,0.00255316,0.00675093,0.00466001,0.00372343,0.00617629,0.00675952,0.0048386,0.00625686,0.00605344,0.0027117,0.00387559,0.00386191,0.00374596,0.00807818,0.00526514,0.00596884,0.00264723,0.00564418,0.00380127,0.00573119,0.00417733,0.00578866,0.0,0.00214074,0.00444536,0.00352392,0.00792975,0.00261202,0.01362877,0.00393397,0.00391935,0.00421763,0.00326797,0.00371824,0.00701787,0.00290527,0.00704794,0.0044541,0.00411951,0.00206335,0.00983778,0.00607705,0.00554295,0.00475326,0.00445686,0.00751818,0.00315365,0.00600405,0.00340491,0.00482751,0.00394819,0.00899228,0.00710716,0.00443059,0.00465427,0.00436399,0.00602658,0.00516308,0.00416506,0.00402135,0.00647341,0.00285107,0.00987022,0.00344286,0.00400477,0.00749506,0.00859419,0.0061366,0.00448232,0.00497763,0.00711304,0.0074997,0.00958154,0.00825667,0.01113976,0.0062599
audio_files/07XLAV0.wav,0.00387465,0.00220224,0.00346215,0.0050421,0.00315499,0.00468391,0.00416704,0.0058919,0.00185433,0.00228549,0.00863642,0.00352522,0.00396987,0.00632789,0.00507754,0.00790834,0.00340168,0.0056119,0.00577862,0.00475539,0.00824114,0.00262762,0.00604881,0.00314139,0.00391043,0.00399738,0.00497548,0.00818003,0.0054064,0.00388442,0.00317979,0.00030052,0.00380542,0.00572139,0.00287417,0.00527362,0.00226553,0.00546274,0.00545771,0.00550853,0.00354633,0.00536306,0.00519244,0.0033865,0.00300133,0.00240456,0.00897169,0.00111243,0.00483373,0.0032926,0.00169075,0.00425793,0.00402958,0.00258329,0.00362616,0.00208431,0.01176692,0.00666417,0.01105904,0.00408512,0.00336022,0.00290742,0.00401349,0.00333207,0.00925964,0.0,0.00581194,0.00499893,0.00672135,0.00465116,0.00447146,0.00674583,0.0034977,0.00430737,0.00436841,0.0082953,0.00741294,0.00824895,0.00436465,0.00327656,0.0012594,0.00373191,0.00405707,0.00453768,0.00332238,0.0045216,0.00255877,0.00909801,0.00675149,0.00520931,0.00528464,0.0055766,0.00580411,0.00387966,0.00632518,0.00503051,0.00480599,0.00816308,0.00508263,0.00444547,0.00429565,0.00692794,0.00638053,0.00727639,0.00310884,0.00391854,0.00855023,0.00792306,0.00506464,0.00545894,0.00681042,0.01062981,0.00845667,0.00599318,0.00317353,0.00657987,0.0044341,0.00315796,0.00524002,0.00395532,0.00466953,0.00586796,0.00934943,0.00290745,0.0073514,0.00602506,0.00345791,0.00430747,0.00409046,0.00521801,0.01037925,0.00683354,0.00453596,0.00032448,0.00688023,0.00538284,0.0052992,0.00346211,0.0081787,0.0,0.00356343,0.00344026,0.00470629,0.00593131,0.00184569,0.01014648,0.00438488,0.00540066,0.00340525,0.00221174,0.00247718,0.00724778,0.00424755,0.00770007,0.00406254,0.00394194,0.00315843,0.00718288,0.00848003,0.00503746,0.00260688,0.00249478,0.00923938,0.00368694,0.00649045,0.00388169,0.00546051,0.00497989,0.01006597,0.00663512,0.00542522,0.00593845,0.0060091,0.00658514,0.00564255,0.00680742,0.00383372,0.00445622,0.00335412,0.01366822,0.00484685,0.00559251,0.00616556,0.00972579,0.00561832,0.00491953,0.0039897,0.00981268,0.00722265,0.01007623,0.00865264,0.00857522,0.00432565
